team,offense,midfield,defense
1. FSV Mainz 05,73,74,74
Admira Wacker,65,65,63
América de Cali,69,68,68
ADO Den Haag,66,68,70
Atlético Tucumán,69,70,70
Botafogo,73,72,71
AFC Eskilstuna,60,61,61
Brøndby IF,67,70,70
Burnley,77,77,78
Chievo Verona,75,75,70
Djurgardens IF,61,61,62
Deportivo Pasto,66,64,66
EA Guingamp,76,74,73
FC Dallas,69,71,68
FC Zürich,72,66,65
Hannover 96,75,74,74
IF Elfsborg,69,68,62
IFK Göteborg,63,65,64
Incheon United,66,64,65
Kawasaki-F,76,68,68
Minnesota United,74,68,66
Odds BK,64,66,66
Once Caldas,64,65,67
Orlando City,72,68,69
Portland Timbers,74,68,68
Randers FC,64,64,65
Rionegro Águilas,66,68,64
San Lorenzo,76,71,71
Shonan Bellmare,66,64,62
Stabæk Fotball,71,63,64
Trabzonspor,76,73,70
Unión La Calera,68,67,66
